commit	sampler	split	frontier_score	fid_N5	fid_N9	fid_N11	fid_N13	peak_vram_mb	status	notes
8a9e4b3	research	proxy	2.607408	27.1614	10.5596	8.9748	7.6796	2230.3	discard	lower predictor momentum no standard-proxy gain
ce3fce1	research	proxy	2.607408	27.1614	10.5596	8.9748	7.6796	2230.3	keep	earlier alpha lift onset standard-qualified keep
ce3fce1	research	confirm	2.323819	24.0138	7.5735	6.2126	4.9067	2230.3	keep	earlier alpha lift onset standard-qualified keep
240bf7c	research	proxy	2.607408	27.1614	10.5596	8.9748	7.6796	2230.3	keep	stronger early alpha lift provisional keep pending confirm
d9ee29e	research	proxy	2.607408	27.1614	10.5596	8.9748	7.6796	2230.3	keep	
d9ee29e	research	confirm	2.323819	24.0138	7.5735	6.2126	4.9067	2230.3	keep	
8f51312	research	proxy	2.607408	27.1614	10.5596	8.9748	7.6796	2230.3	keep	
8f51312	research	confirm	2.323819	24.0138	7.5735	6.2126	4.9067	2230.3	keep	
ef1c21f	research	confirm	0.000000	0.0000	0.0000	0.0000	0.0000	0.0	crash	Unable to load the EDM Inception detector for FID evaluation. Set SAMPLER_AUTORESEARCH_ALLOW_APPROX_FID=1 only for offline tests or local smoke runs.
ef1c21f	research	proxy	2.607408	27.1614	10.5596	8.9748	7.6796	2230.0	keep	
0ea6330	research	proxy	2.607408	27.1614	10.5596	8.9748	7.6796	2230.3	keep	
584f96a	research	proxy	2.607408	27.1614	10.5596	8.9748	7.6796	2230.3	keep	
584f96a	research	confirm	2.323819	24.0138	7.5735	6.2126	4.9067	2230.3	keep	
8a9e4b3	research	proxy	2.607408	27.1614	10.5596	8.9748	7.6796	2230.3	keep	
ce3fce1	research	proxy	2.607408	27.1614	10.5596	8.9748	7.6796	2230.3	keep	
ce3fce1	research	confirm	2.323819	24.0138	7.5735	6.2126	4.9067	2230.3	keep	
240bf7c	research	proxy	2.607408	27.1614	10.5596	8.9748	7.6796	2230.3	discard	third scalar-only alpha keep disallowed after neutral standard confirm
240bf7c	research	confirm	2.323819	24.0138	7.5735	6.2126	4.9067	2230.3	discard	third scalar-only alpha keep disallowed after neutral standard confirm
24ff371	research	proxy	2.607408	27.1614	10.5596	8.9748	7.6796	2230.3	discard	curved late predictor ramp no frontier or standard-proxy gain
04cc815	research	proxy	2.607408	27.1614	10.5596	8.9748	7.6796	2230.3	discard	directional predictor gate no frontier or standard-proxy gain
1354cf2	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	keep	alpha lift gated by slope alignment confirm-qualified working base
1354cf2	research	confirm	2.323722	24.0109	7.5727	6.2115	4.9070	2230.3	keep	alpha lift gated by slope alignment confirm-qualified working base
24ff371	research	proxy	2.607408	27.1614	10.5596	8.9748	7.6796	2230.3	keep	
04cc815	research	proxy	2.607408	27.1614	10.5596	8.9748	7.6796	2230.3	keep	
1354cf2	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	keep	
1354cf2	research	confirm	2.323722	24.0109	7.5727	6.2115	4.9070	2230.3	keep	
cc72733	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	discard	softer alpha alignment gate no frontier or standard-proxy gain
a4da4ad	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	discard	smoothed alpha alignment gate no frontier or standard-proxy gain
348be72	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	discard	predictor gated by alpha alignment no frontier gain and standard-proxy regression
a4da4ad	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	keep	
348be72	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	keep	
29bd164	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	keep	slope-consistency alpha gate confirm-qualified working base
29bd164	research	confirm	2.323722	24.0109	7.5727	6.2115	4.9070	2230.3	keep	slope-consistency alpha gate confirm-qualified working base
683995d	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	discard	earlier standard sigma pivot confirm regression
683995d	research	confirm	2.323722	24.0109	7.5727	6.2115	4.9070	2230.3	discard	earlier standard sigma pivot confirm regression
d4abe0b	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	discard	parent 29bd164 missed final reset to ce3fce1
1b287e1	research	proxy	2.607407	27.1618	10.5588	8.9758	7.6792	2230.3	discard	lower standard rho from champion base confirm regression
732f600	research	proxy	2.607434	27.1635	10.5590	8.9746	7.6806	2230.3	discard	predictor growth damping no frontier or standard-proxy gain
732f600	research	proxy	2.607434	27.1635	10.5590	8.9746	7.6806	2230.3	discard	predictor growth damping no frontier or standard-proxy gain
140e2ea	research	proxy	2.607491	27.1648	10.5604	8.9741	7.6812	2230.3	keep	alpha growth gate confirm pending
140e2ea	research	confirm	2.323761	24.0154	7.5724	6.2109	4.9071	2230.3	keep	alpha growth gate confirm-qualified working base
140e2ea	research	proxy	2.607491	27.1648	10.5604	8.9741	7.6812	2230.3	keep	
140e2ea	research	confirm	2.323761	24.0154	7.5724	6.2109	4.9071	2230.3	keep	
53e682d	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	keep	softer alpha growth gate confirm pending
53e682d	research	confirm	2.323722	24.0109	7.5727	6.2115	4.9070	2230.3	keep	softer alpha growth gate confirm-qualified working base
53e682d	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	keep	
53e682d	research	confirm	2.323722	24.0109	7.5727	6.2115	4.9070	2230.3	keep	
222b14b	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	discard	upward-biased alpha growth gate no standard-proxy gain
fac7f7a	research	proxy	2.607398	27.1655	10.5580	8.9735	7.6801	2230.3	discard	coupled predictor growth gate no frontier or standard-proxy gain
e057fff	research	proxy	2.607419	27.1624	10.5590	8.9755	7.6796	2230.3	keep	late correction relax on slope growth standard-proxy improvement
288b117	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.0	discard	growth-gated denoiser smoothing no frontier or standard-proxy gain
e057fff	research	confirm	2.323705	24.0154	7.5712	6.2109	4.9068	2230.3	keep	late correction relax on slope growth final pending
fac7f7a	research	proxy	0.000000	0.0000	0.0000	0.0000	0.0000	0.0	crash	5
fac7f7a	research	proxy	2.607398	27.1655	10.5580	8.9735	7.6801	2230.3	keep	
e057fff	research	proxy	0.000000	0.0000	0.0000	0.0000	0.0000	0.0	crash	5
e057fff	research	proxy	2.607419	27.1624	10.5590	8.9755	7.6796	2230.3	keep	
288b117	research	proxy	0.000000	0.0000	0.0000	0.0000	0.0000	0.0	crash	5
288b117	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.0	keep	
e057fff	research	confirm	0.000000	0.0000	0.0000	0.0000	0.0000	0.0	crash	5
e057fff	research	confirm	0.000000	0.0000	0.0000	0.0000	0.0000	0.0	crash	5
e057fff	research	confirm	2.323705	24.0154	7.5712	6.2109	4.9068	2230.3	keep	
ab1f360	research	proxy	0.000000	0.0000	0.0000	0.0000	0.0000	0.0	crash	5
ab1f360	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	discard	error-ratio late relax standard-proxy regression
0585f74	research	proxy	0.000000	0.0000	0.0000	0.0000	0.0000	0.0	crash	5
0585f74	research	proxy	2.607383	27.1618	10.5580	8.9739	7.6813	2230.3	keep	
f96d5e5	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	keep	later correction relax onset confirm pending
0ad0e15	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	keep	stronger correction relax cap confirm pending
0585f74	research	confirm	0.000000	0.0000	0.0000	0.0000	0.0000	0.0	crash	5
0585f74	research	confirm	2.323767	24.0142	7.5720	6.2120	4.9072	2230.3	discard	dominated by f96d5e5 at confirm
f96d5e5	research	confirm	2.323722	24.0109	7.5727	6.2115	4.9070	2230.3	keep	later correction relax onset promoted to final
0ad0e15	research	confirm	2.323722	24.0109	7.5727	6.2115	4.9070	2230.3	discard	tied frontier but worse standard confirm than f96d5e5
d26552d	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	discard	curvature-gated predictor had no frontier gain and worse standard proxy
b736d56	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	discard	predictor ablation had no frontier gain and standard-proxy regression
d70b8ad	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	discard	combined later relax with curvature gate had no frontier gain
e3508e3	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.3	keep	
cbfd11a	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.0	keep	
5953a6c	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.0	keep	
6d13b0d	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.0	keep	
60db670	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.0	keep	
b258eab	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.0	keep	
ecc5df5	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.0	keep	
103f4a1	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.0	keep	
cb3fe9b	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.0	keep	
fd637da	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.0	keep	
4303083	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.0	keep	
43da758	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.0	keep	
e208c21	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.0	keep	
8f3ebc2	research	proxy	2.607374	27.1588	10.5593	8.9742	7.6806	2230.0	keep	
a1b5a85	research	proxy	2.607396	27.1617	10.5599	8.9738	7.6795	2230.0	keep	
a1b5a85	research	proxy	0.000000	0.0000	0.0000	0.0000	0.0000	0.0	crash	5
5e43179	research	proxy	2.607405	27.1627	10.5591	8.9745	7.6796	2230.0	keep	
758eade	research	proxy	2.607525	27.1632	10.5601	8.9766	7.6816	2187.0	keep	
0c33fe7	research	proxy	2.607537	27.1645	10.5602	8.9768	7.6810	2187.0	keep	
f80dfb7	research	proxy	2.607511	27.1631	10.5601	8.9763	7.6813	2187.0	keep	
